target_variable;features;algorithm;imputation_method;feature_selection_method;n_clusters;scores;cross_validation_score;cross_validation_std;cluster_sizes;remove_missing_scores
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];kmeans;N/A;agglomeration;3;{'silhouette': 0.20674421357695813, 'calinski_harabasz': 29.401860423219603, 'davies_bouldin': 1.529510096845944};0.1918412271981145;0.034318297691416984;{0: 23, 1: 48, 2: 49};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];kmeans;N/A;variance;2;{'silhouette': 0.2145998788117886, 'calinski_harabasz': 35.55808928434416, 'davies_bouldin': 1.6326518266979324};0.19295514780431172;0.024729843650189286;{0: 52, 1: 68};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];kmeans;N/A;variance;3;{'silhouette': 0.20674421358149017, 'calinski_harabasz': 29.401860423219606, 'davies_bouldin': 1.529510096845944};0.1918412271981145;0.03431829769141698;{0: 23, 1: 48, 2: 49};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];kmeans;N/A;pca;2;{'silhouette': 0.21459987880860523, 'calinski_harabasz': 35.55808928434415, 'davies_bouldin': 1.6326518266979324};0.1929551478043117;0.02472984365018928;{0: 52, 1: 68};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];kmeans;N/A;pca;3;{'silhouette': 0.20674421357695813, 'calinski_harabasz': 29.40186042321961, 'davies_bouldin': 1.529510096845944};0.19184122719811447;0.034318297691416984;{0: 23, 1: 48, 2: 49};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];kmeans;N/A;agglomeration;2;{'silhouette': 0.21459987880860526, 'calinski_harabasz': 35.55808928434416, 'davies_bouldin': 1.6326518266979324};0.19295514780431172;0.024729843650189286;{0: 52, 1: 68};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];kmeans;N/A;agglomeration;3;{'silhouette': 0.20674421357695813, 'calinski_harabasz': 29.401860423219603, 'davies_bouldin': 1.529510096845944};0.1918412271981145;0.034318297691416984;{0: 23, 1: 48, 2: 49};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;variance;2;{'silhouette': 0.1620224314420322, 'calinski_harabasz': 26.096512911345997, 'davies_bouldin': 1.8596692588671677};0.11487584309666109;0.09732106052385113;{0: 46, 1: 74};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;variance;3;{'silhouette': 0.11599983887573558, 'calinski_harabasz': 13.996746693211815, 'davies_bouldin': 2.40111674484749};0.09337876303222824;0.052803119123015;{0: 33, 1: 69, 2: 18};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;pca;2;{'silhouette': 0.1620224314389542, 'calinski_harabasz': 26.096512911345982, 'davies_bouldin': 1.8596692588671677};0.11487584309666111;0.09732106052385119;{0: 46, 1: 74};True
